timestamp,location,potentialEvapotranspiration
2010-05-07T00:00:00,Lower,0.0
2010-05-08T00:00:00,Lower,0.0
2010-05-09T00:00:00,Lower,0.0
2010-05-10T00:00:00,Lower,0.0
2010-05-11T00:00:00,Lower,0.0
2010-05-12T00:00:00,Lower,0.0
2010-05-13T00:00:00,Lower,0.0
2010-05-14T00:00:00,Lower,0.0
2010-05-15T00:00:00,Lower,0.0
2010-05-16T00:00:00,Lower,0.0
2010-05-17T00:00:00,Lower,0.0
2010-05-18T00:00:00,Lower,0.0
2010-05-19T00:00:00,Lower,0.0
2010-05-20T00:00:00,Lower,0.0
2010-05-21T00:00:00,Lower,0.0
2010-05-22T00:00:00,Lower,0.864
2010-05-23T00:00:00,Lower,0.0
2010-05-24T00:00:00,Lower,1.1232
2010-05-25T00:00:00,Lower,0.9072
2010-05-26T00:00:00,Lower,1.5552
2010-05-27T00:00:00,Lower,1.728
2010-05-28T00:00:00,Lower,0.864
2010-05-29T00:00:00,Lower,0.0
2010-05-30T00:00:00,Lower,0.0
2010-05-31T00:00:00,Lower,1.8576
2010-06-01T00:00:00,Lower,1.6416
2010-06-02T00:00:00,Lower,1.944
2010-06-03T00:00:00,Lower,1.9008
2010-06-04T00:00:00,Lower,0.2592
2010-06-05T00:00:00,Lower,0.0
2010-06-06T00:00:00,Lower,0.0
2010-06-07T00:00:00,Lower,0.0
2010-06-08T00:00:00,Lower,0.0
2010-06-09T00:00:00,Lower,0.1728
2010-06-10T00:00:00,Lower,1.6847999999999999
2010-06-11T00:00:00,Lower,2.4192
2010-06-12T00:00:00,Lower,1.8576
2010-06-13T00:00:00,Lower,2.8944
2010-06-14T00:00:00,Lower,3.0671999999999997
2010-06-15T00:00:00,Lower,0.648
2010-06-16T00:00:00,Lower,1.4256
2010-06-17T00:00:00,Lower,2.0304
2010-06-18T00:00:00,Lower,2.16
2010-06-19T00:00:00,Lower,1.9008
2010-06-20T00:00:00,Lower,0.9935999999999999
2010-06-21T00:00:00,Lower,0.864
2010-06-22T00:00:00,Lower,3.8016
2010-06-23T00:00:00,Lower,4.0608
2010-06-24T00:00:00,Lower,3.4991999999999996
2010-06-25T00:00:00,Lower,3.3264
2010-06-26T00:00:00,Lower,2.4192
2010-06-27T00:00:00,Lower,3.024
2010-06-28T00:00:00,Lower,4.536
2010-06-29T00:00:00,Lower,3.5423999999999998
2010-06-30T00:00:00,Lower,2.2896
2010-07-01T00:00:00,Lower,1.4687999999999999
2010-07-02T00:00:00,Lower,0.1296
